"filename", "language", "JSON with Comments", "JSON", "HTML", "TypeScript", "PostCSS", "vue", "Markdown", "XML", "comment", "blank", "total"
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\README.md", "Markdown", 0, 0, 0, 0, 0, 0, -3, 0, 0, -3, -6
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\components.json", "JSON", 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\index.html", "HTML", 0, 0, -13, 0, 0, 0, 0, 0, 0, -1, -14
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\package-lock.json", "JSON", 0, -4866, 0, 0, 0, 0, 0, 0, 0, -1, -4867
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\package.json", "JSON", 0, -46, 0, 0, 0, 0, 0, 0, 0, -1, -47
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\App.vue", "vue", 0, 0, 0, 0, 0, -10, 0, 0, 0, -2, -12
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\lib\utils.ts", "TypeScript", 0, 0, 0, -6, 0, 0, 0, 0, 0, -2, -8
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\main.ts", "TypeScript", 0, 0, 0, -18, 0, 0, 0, 0, 0, -2, -20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\router\index.ts", "TypeScript", 0, 0, 0, -122, 0, 0, 0, 0, -2, -6, -130
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\stores\CommonStore.ts", "TypeScript", 0, 0, 0, -18, 0, 0, 0, 0, 0, -2, -20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\stores\ForumCategoryStore.ts", "TypeScript", 0, 0, 0, -29, 0, 0, 0, 0, -1, -5, -35
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\stores\PostStore.ts", "TypeScript", 0, 0, 0, -32, 0, 0, 0, 0, -1, -3, -36
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\stores\UserStore.ts", "TypeScript", 0, 0, 0, -34, 0, 0, 0, 0, 0, -4, -38
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\style.css", "PostCSS", 0, 0, 0, 0, -137, 0, 0, 0, -1, -10, -148
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\utils\myAxios.ts", "TypeScript", 0, 0, 0, -49, 0, 0, 0, 0, -5, -5, -59
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\tsconfig.app.json", "JSON", 0, -20, 0, 0, 0, 0, 0, 0, -1, -3, -24
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\tsconfig.json", "JSON with Comments", -19, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\tsconfig.node.json", "JSON", 0, -22, 0, 0, 0, 0, 0, 0, -2, -3, -27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\vite.config.ts", "TypeScript", 0, 0, 0, -20, 0, 0, 0, 0, 0, -1, -21
"Total", "-", -19, -4974, -13, -328, -137, -10, -3, -1, -13, -55, -5553
