"filename", "language", "vue", "TypeScript", "comment", "blank", "total"
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\admin\AdminLayout.vue", "vue", 31, 0, 1, 2, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\admin\forum\ForumCategory.vue", "vue", 385, 0, 20, 38, 443
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\admin\shop\Component.vue", "vue", 394, 0, 5, 33, 432
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\admin\shop\ShopCategory.vue", "vue", 407, 0, 23, 39, 469
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\admin\sidebar\AppSidebar.vue", "vue", 91, 0, 0, 7, 98
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\admin\sidebar\NavMain.vue", "vue", 49, 0, 0, 3, 52
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\admin\sidebar\NavProjects.vue", "vue", 59, 0, 0, 4, 63
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\admin\sidebar\NavUser.vue", "vue", 82, 0, 0, 4, 86
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\admin\test.vue", "vue", 19, 0, 3, 3, 25
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\admin\user\User.vue", "vue", 282, 0, 10, 28, 320
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\common\FrontLayout.vue", "vue", 364, 0, 10, 34, 408
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\common\Home.vue", "vue", 224, 0, 6, 28, 258
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\common\Upload.vue", "vue", 148, 0, 7, 27, 182
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\forum\Forum.vue", "vue", 248, 0, 2, 21, 271
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\forum\Post.vue", "vue", 585, 0, 13, 28, 626
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\forum\PostSimple.vue", "vue", 138, 0, 1, 13, 152
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\shop\CouponDialog.vue", "vue", 288, 0, 14, 29, 331
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\shop\MyOrders.vue", "vue", 325, 0, 5, 16, 346
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\shop\Order.vue", "vue", 630, 0, 6, 50, 686
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\shop\Product.vue", "vue", 335, 0, 18, 38, 391
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\shop\Shop.vue", "vue", 210, 0, 10, 22, 242
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\user\Sign.vue", "vue", 275, 0, 3, 31, 309
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\front\user\User.vue", "vue", 304, 0, 15, 33, 352
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\alert-dialog\AlertDialog.vue", "vue", 12, 0, 0, 4, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\alert-dialog\AlertDialogAction.vue", "vue", 15, 0, 0, 4, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\alert-dialog\AlertDialogCancel.vue", "vue", 22, 0, 0, 4, 26
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\alert-dialog\AlertDialogContent.vue", "vue", 36, 0, 0, 6, 42
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\alert-dialog\AlertDialogDescription.vue", "vue", 20, 0, 0, 5, 25
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\alert-dialog\AlertDialogFooter.vue", "vue", 20, 0, 0, 3, 23
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\alert-dialog\AlertDialogHeader.vue", "vue", 15, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\alert-dialog\AlertDialogTitle.vue", "vue", 18, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\alert-dialog\AlertDialogTrigger.vue", "vue", 10, 0, 0, 3, 13
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\alert-dialog\index.ts", "TypeScript", 0, 9, 0, 1, 10
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\avatar\Avatar.vue", "vue", 16, 0, 0, 3, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\avatar\AvatarFallback.vue", "vue", 18, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\avatar\AvatarImage.vue", "vue", 14, 0, 0, 3, 17
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\avatar\index.ts", "TypeScript", 0, 3, 0, 1, 4
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\badge\Badge.vue", "vue", 23, 0, 0, 4, 27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\badge\index.ts", "TypeScript", 0, 24, 0, 3, 27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\breadcrumb\Breadcrumb.vue", "vue", 15, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\breadcrumb\BreadcrumbEllipsis.vue", "vue", 21, 0, 0, 3, 24
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\breadcrumb\BreadcrumbItem.vue", "vue", 15, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\breadcrumb\BreadcrumbLink.vue", "vue", 19, 0, 0, 3, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\breadcrumb\BreadcrumbList.vue", "vue", 15, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\breadcrumb\BreadcrumbPage.vue", "vue", 18, 0, 0, 3, 21
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\breadcrumb\BreadcrumbSeparator.vue", "vue", 20, 0, 0, 3, 23
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\breadcrumb\index.ts", "TypeScript", 0, 7, 0, 1, 8
